Method,batch,accuracy,precision,recall,f1 score,auc roc
LSTM,64,0.64375,0.6203703703703703,0.8072289156626506,0.7015706806282721,0.6812705366922235
LSTM,128,0.775,0.8133333333333334,0.7349397590361446,0.7721518987341773,0.8125488968862462
LSTM,256,0.6125,0.7333333333333333,0.39759036144578314,0.5156250000000001,0.7039586919104991
