Method,model,max gap,sup pos,sup neg,accuracy,precision,recall,f1 score,auc roc
RTP,svm,4,0.1,0.1,0.8405063291139241,0.7684630738522954,0.9746835443037974,0.859375,0.8818939272552475
RTP,svm,4,0.1,0.15,0.8405063291139241,0.7717171717171717,0.9670886075949368,0.8584269662921349,0.8868642845697804
RTP,svm,4,0.1,0.2,0.839240506329114,0.7701612903225806,0.9670886075949368,0.8574635241301907,0.8848710142605352
RTP,svm,4,0.1,0.25,0.839240506329114,0.7701612903225806,0.9670886075949368,0.8574635241301907,0.8848710142605352
RTP,svm,4,0.1,0.3,0.839240506329114,0.7701612903225806,0.9670886075949368,0.8574635241301907,0.8848710142605352
RTP,svm,4,0.15,0.1,0.8341772151898734,0.7650602409638554,0.9645569620253164,0.8533034714445689,0.9073289536933182
RTP,svm,4,0.15,0.15,0.8341772151898734,0.7650602409638554,0.9645569620253164,0.8533034714445689,0.9098605992629384
RTP,svm,4,0.15,0.2,0.8316455696202532,0.7641129032258065,0.959493670886076,0.8507295173961841,0.9125268386476524
RTP,svm,4,0.15,0.25,0.8316455696202532,0.7641129032258065,0.959493670886076,0.8507295173961841,0.9128408908828712
RTP,svm,4,0.15,0.3,0.8316455696202532,0.7641129032258065,0.959493670886076,0.8507295173961841,0.9128408908828712
RTP,svm,4,0.2,0.1,0.8341772151898734,0.7650602409638554,0.9645569620253164,0.8533034714445689,0.902666239384714
RTP,svm,4,0.2,0.15,0.8354430379746836,0.7655310621242485,0.9670886075949368,0.8545861297539151,0.9058740586444478
RTP,svm,4,0.2,0.2,0.8329113924050633,0.7645875251509054,0.9620253164556962,0.852017937219731,0.9024130748277518
RTP,svm,4,0.2,0.25,0.8329113924050633,0.7645875251509054,0.9620253164556962,0.852017937219731,0.9033584361480532
RTP,svm,4,0.2,0.3,0.8329113924050633,0.7645875251509054,0.9620253164556962,0.852017937219731,0.9033584361480532
RTP,svm,4,0.25,0.1,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8865213908027559
RTP,svm,4,0.25,0.15,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8941740105752283
RTP,svm,4,0.25,0.2,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8937189552956257
RTP,svm,4,0.25,0.25,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8931485338887998
RTP,svm,4,0.25,0.3,0.8354430379746836,0.7676767676767676,0.9620253164556962,0.8539325842696629,0.8931485338887998
RTP,svm,4,0.3,0.1,0.8367088607594937,0.7692307692307693,0.9620253164556962,0.8548931383577053,0.8862874539336645
RTP,svm,4,0.3,0.15,0.8367088607594937,0.7692307692307693,0.9620253164556962,0.8548931383577053,0.8914693158147731
RTP,svm,4,0.3,0.2,0.8379746835443038,0.7696969696969697,0.9645569620253164,0.8561797752808987,0.886377183143727
RTP,svm,4,0.3,0.25,0.8379746835443038,0.7696969696969697,0.9645569620253164,0.8561797752808987,0.8864701169684345
RTP,svm,4,0.3,0.3,0.8379746835443038,0.7696969696969697,0.9645569620253164,0.8561797752808987,0.8864701169684345
